id,text
c6nota2,"La rabadilla es la punta o extremidad de la columna vertebral, formada por la ultima pieza del hueso sacro y por todas las del coxis"
c7nota1,El rescoldo es la brasa menuda resguardada por la ceniza
c7nota2,"Los caracuces, plural del caracu, es el tuetano de los animales, en particular de vacunos. El origen de la palabra proviene del guarani utilizada en Argentina, Chile, Paraguay y Uruguay. "
c7nota3,El tuetano es la sustancia semi-grasa que se encuentra en el interior de los huesos de la medula
c7nota6,"Los guaderios fueron habitantes de la region fronteriza de Rio Grande Do Sul (Brasil) y el Litoral del Rio de la Plata, de origen portugues, indio, español criollo o mestizo, que vivia de forma vagabunda y se mantenia al margen de la autoridad, a menudo viviendo de lo que encontraba o como comerciante de cueros. El termino se usaba de manera similar al de ""gaucho"". "
c8nota1,"Tratamiento inglés que se da a los lores, o señores de la nobleza inglesa."
c8nota4,"Provisión para sustento de una ciudad, de un ejército"
d1nota1,Lleno de cieno (lodo)
d3nota1,Con hortelanos se refiere a las personas que trabajan o son afines a las huertas
d3nota2,"Raja es una de las partes de un leño que resulta de abrirlo al hilo con un hacha, una cuña u otro instrumento"
d3note3,Se refiere a las colinas costeras que se encuentran en la zona norte de la Provincia de Buenos Aires
d3nota4,La parra es el ramo o el conjunto de uvas
d4nota1,"Las parras, plural de parras. Vid, y en especial la que esta levantada artificialmente y extiende muchos sus vastagos"
d4nota2,Pulidas eran mujeres con una apariencia fisica o un comportamiento muy cuidado y refinado.
d4nota3,Sarao eran reuniones nocturnas de personas de distincion para diveritse con baile o musica 
d4nota4,"Aliño era una composicion, adorno, afeo. "
d5nota1,Andrieles era el termino utilizado en Argentina para referirse a una especie de delantal.
d5nota2,"Granjerias eran las ganancias o beneficio economico que se obtienen de una ocupacion o de otra cosa, a veces de manera ilicita. "
d5nota3,La congrua era el termino que hacia referencia a algo adecuado o conveniente
d5nota4,Frugal era una persona parca en comer y beber.
d6nota1,"Casa u oficina del correo, donde se entregan las cartas que se envían, y se recogen las que se reciben."
d8nota1,Bastimientos refiere a provisiones para sustento de una ciudad
d8nota2,"Los solares refieren a una porción de suelo en la casa. Es un corral o terreno libre situado en la parte posterior de las casas, que se utiliza como huerto o para la cría de animales y a veces como desahogo"
d8nota3,Los pretiles son muretes o vallados de piedra u otra materia que se pone en los puentes y en otros lugares para preservar de caídas
e1nota1,"Trajín se refiere a la acción de trajinar, que significa ir de un lado a otro con alguna actividad"
e2nota1,Canonjía refiere a la prebenda por la que se pertenece al cabildo de iglesia catedral o colegial.
e2nota2,"El mayorazgo consistía en una institución del derecho civil de España que refería a los bienes. Por las leyes desvinculadoras del siglo XIX, quedó circunscrita en España a los títulos nobiliarios, y tiene por objeto perpetuar en la familia la propiedad de ciertos bienes o derechos con arreglo a las condiciones que se dicten al establecerla o, a falta de ellas, a las prescritas por la ley."
e3nota1,"Un capón es un pollo que se castra cuando es pequeño, y se ceba para comerlo"
e3nota2,Los tinajones son vasijas toscas de barro cocido parecida a la mitad inferior de una tinaja.
e4nota1,Crasa es un adjetivo que refiere a una accion indisculpable puede ser un craso error o ignorancia crasa
e4nota2,Los aguadores son las personas que tienen por oficio llevar o vender agua
e4nota3,Los aljibes son construcciones con depositos subterraneos de agua que se usaban para obtener agua para beber 
e4nota4,"El ejido refiere al campo común de un pueblo, que esta a su alrededor, lindante con él"
e4nota5,Los veneros salitrosos son manatiales de agua con exceso de sal que no puede ser bebida
e4nota6,"Los pejereyes son peces marinos o de agua dulce de carne comestible, con una banda plateada característica a lo largo del flanco"
e6nota1,"Melindrosa es un adjetivo que refiere a una persona que manifiesta una delicadeza excesiva y afectada en sus palabras, gestos y acciones."
e6nota2,"Se refiere al forraje tierno de cebada u otros cereales, usado para alimentar al ganado."
e6nota3,Ambigús hace referencia a un bufé
e6nota4,"Apoplejía implica la suspensión de algunas funciones cerebrales por algún problema cerebral (por lo general, hemorragia, obstrucción o compresión de una arteria)"
e6nota5,Alcacer refiere a la cebada verde y en hierba.
e6nota6,"Acción y efecto de acopiar. Juntar, reunir en cantidad algo, y más comúnmente granos, provisiones, etc."
e6nota7,"Acción y efecto de cotejar. Confrontar algo con otra u otras cosas, o compararlas teniéndolas a la vista."
e7nota1,"Corresponde a la grafía antigua de ""Oeste-Sudoeste"" (OSO), un punto cardinal intermedio entre el Oeste y el Sudoeste, equivalente a 247,5° en la rosa de los vientos. En el texto se menciona como dirección de los vientos pamperos en la región del Río de la Plata."
e7nota2,"Arrobas es el peso equivalente a 11,502 kg."
e7nota3,Bagaje es el equipaje que se lleva en un viaje
e8nota1,Una silla volante refiere a un carruaje antiguo de dos ruedas o a un asiento para simuladores de carreras
e8nota2,"Trajín se refiere a la acción de trajinar, que significa ir de un lado a otro con alguna actividad"
f1nota1,"Recuas refiere a un conjunto de animales de carga, que sirve para trajinar"
f1nota2,Pascana es una posada
f1nota3,"Pérdida del carácter sagrado de un lugar, sea por profanación, sea por accidente."
f1nota4,"Barragana es una concubina, compañera."
f3nota1,"Guarnecer refiere a vestir, aquí visten la estaca"
f3nota2,"Lodazal o sitio donde un vehículo, un animal o una persona se atasca y tiene dificultades para salir "
f4nota1,"Ensenada es una parte de mar que entra en la tierra, en este caso refiere a la disposición de la casa en una parte hacia adentro del camino real"
f4nota2,"Intercadencia refiere a una desigualdad defectuosa o irregularidad, en este caso un problema en la vista"
f5nota1,"Conjunto de caballos de montar, que se tienen juntos por un tiempo."
f6nota1,Curato refiere al cargo espiritual del cura de almas.
f6nota2,Estipendio es la paga o remuneración que se da a alguien por algún servicio.
f8nota1,"Los ganados cimarrones son salvajes, no domesticados. "
f8nota2,Animal que releva en el trabajo a otro que está cansado.
g1nota1,Animal que releva en el trabajo a otro que está cansado.
g1nota2,"Mamífero americano, especie de armadillo, de cuyo caparazón se servían los indígenas para hacer charangos."
g4nota1,"Palabra de origen quechua. Árbol de la familia de las papilionáceas, espinoso, de corteza amarilla, y cuyas legumbres son dulces y comestibles. Se encuentran en Argentina, Chile y Uruguay."
g4nota2,"Parte de donde viene el viento, con respecto a un punto o lugar determinado."
g5nota1,Hacer que algo se apacigüe o aquiete.
g5nota2,"Posta en el Camino Real dentro de la provincia de Córdoba, que por falta de información no puede georreferenciarse dentro de la provincia. "
g6nota1,"La ""ruta de Potosí"" es como se referían a el circuito mercantil por el cual circulaba la plata extraída del monte de Potosí hasta Buenos Aires, y de allí a España"
g6nota2,"La ""ruta de Chile"" es como denominaban el circuito comercial que conectaba el Virreinato del Río de la Plata con la Capitanía de Chile en tiempos coloniales."
g6nota3,"Ver ""Esquina del Paso de Ferreira"" al comienzo del capítulo. "
g8nota1,"Medida itineraria, variable según los países o regiones, definida por el camino que regularmente se anda en una hora, y que en el antiguo sistema español equivale a 5572,7 m"
g8nota2,"Provisión para sustento de una ciudad, de un ejército, etc."
h1nota1,Parte de mar que entra en la tierra.
h1nota2,Expresión arquitectónica usada para referirse a una cúpula semiesférica que cubre el crucero de la iglesia.
h2nota1,"Los Cabildos seculares eran la principal institución de gobierno municipal dentro del sistema administrativo de la Corona Española en sus colonias americanas. Tenían funciones de administración pública, justicia y policía. "
h2nota2,"Refiere al Colegio Máximo (fundado en 1613) y el Colegio Nacional de Monserrat (fundado en 1687), pertenecientes a la Compañía de Jesús hasta su expulsión de las colonias en 1767."
h3nota1,"Conjunto de hebras, hilos o cordoncillos que, sujetos y reunidos por su mitad o por uno de sus cabos en una especie de botón ysueltos por el otro o por ambos, penden en forma de cilindro o se esparcen en forma de media bola. También se hacen defilamentos de pluma para aplicar los polvos que se usan como cosmético."
h4nota1,"Los Cabildos ecleciásticos eran una de las instituciones más importantes dentro del sistema administrativo de la Corona Española en sus colonias americanas. Tenían funciones de gobierno, pero también de culto y estaban integrados por clérigos de distintas categorías. "
h4nota2,"El ejido era el campo común de un pueblo, lindante con él, que no se labra, y donde suelen reunirse los ganados o establecerse las eras."
h4nota3,"La granjería era la ganancia o beneficio económico que se obtienen de una ocupación o de otra cosa, a veces de manera ilícita."
h5nota1,"Las Temporalidades eran un conjunto de propiedades que pertenecieron a la Compañía de Jesús y que fueron administradas por la Corona Española luego de 1767, cuando los jesuitas fueron expulsados de las colonias."
h5nota2,"Orden de Santa Teresa de Jesús (o Carmelitas Descalzas), fundada en el siglo XVI por Santa Teresa de Jesús en España, las cuales se dedicaban a una vida de clausura y pobreza,"
h6nota1,"Tela gruesa de algodón, con pelo por una de sus caras."
h7nota1,Distribuir y alojar las tropas en diversos poblados o poblaciones.
h8nota1,"Similar a ""despotismo"". Conjunto de actitudes y prácticas de quien abusa de su superioridad o poder en el trato con los demás."
h8nota2,"Es poco claro a qué localidad se refiere, pero probablemente fuese dentro de la actual provincia de Tucumán."
h8nota3,"Recipiente hecho con la piel de un animal, usualmente de cabra u oveja, que se cose y se impermeabiliza para guardar líquidos como vino, aceite o agua"
i1nota1,"Vasija de barro mediana, redonda y de cuello corto y estrecho."
i2nota1,"Rango militar establecido en 1534 por el monarca Carlos I de España. Este cargo fue creado para dotar a los Tercios de una estructura de mando intermedia que asegurara la coordinación y disciplina entre los soldados en un contexto de guerra, especialmente en el marco de las campañas en Europa y América."
i2nota2,"Encargado de recibir, distribuir y remitir las cartas que se le confiaban. Se obligaba a mantener el servicio en el que eran fundamentales los caballos y su alimentación, así como los lugares de abastecimientos y descanso."
i3nota1,"Persona que está de paso, que no reside sino transitoriamente en un sitio"
i4nota1,"De ""guarnecer"": Dotar, proveer, equipar."
i4nota2,"En el siglo XVIII, un tiro de un fusil medía alrededor de 1,5 metros de largo"
i5nota1,"Máquina compuesta de dos grandes ruedas engranadas que, mediante cangilones, sube el agua de los pozos, acequias, etcétera."
i6nota1,"La ""cochinilla"" es un tipo de insecto, del cual se solía extraer un tinte de color carmín también llamado ""grana"", muy utilizado en lugares como México y Perú. "
